report_date,meduzot_beach_name,source,species,intensity,actual,model_beach_id,model_beach_name,jellyfishnet_probability,jellyfishnet_yes_no,jellyfishnet_error,baseline_probability,baseline_yes_no,baseline_error
2024-06-01,,citizen_science_occurrence,Rhopilema nomadica,Some,1,16,Rishon-Jaffa,0.5220606327056885,Yes,,0.49088165163993835,No,
2024-06-01,,citizen_science_occurrence,Cnidaria,,1,1,Nahariya-Rosh Hniqra,0.4543687105178833,No,,0.5504471063613892,Yes,
2024-06-01,,citizen_science_occurrence,Cnidaria,,1,3,Kiryat Yam-Acco,0.43663525581359863,No,,0.3633451461791992,No,
2024-06-01,,citizen_science_occurrence,Rhopilema nomadica,Some,1,9,Hadera-Jisr a zarqa,0.4881027042865753,No,,0.5215353965759277,Yes,
2024-06-01,,citizen_science_occurrence,Rhopilema nomadica,Few,1,13,Herzlia-Gaash,0.4472966194152832,No,,0.6018288135528564,Yes,
2024-06-01,,citizen_science_occurrence,Cnidaria,,1,15,Jaffa-Tel Aviv,0.3061017394065857,No,,0.5377978086471558,Yes,
2024-06-01,,citizen_science_occurrence,Mnemiopsis Leidyi,Some,1,10,Michmoret-Hadera,0.30896613001823425,No,,0.4775037467479706,No,
2024-06-01,,citizen_science_occurrence,Rhopilema nomadica,,1,7,Dor-Atlit,0.23509280383586884,No,,0.27317458391189575,No,
2024-06-01,,citizen_science_occurrence,Rhopilema nomadica,Few,1,19,Ashkelon-Ashdod,0.34678199887275696,No,,0.45651325583457947,No,
2024-06-01,,citizen_science_occurrence,Rhopilema nomadica,,1,18,Ashdod-Palmahim,0.5207024812698364,Yes,,0.6179512739181519,Yes,
2024-06-01,,citizen_science_occurrence,Rhopilema nomadica,Few,1,20,Gaza-Ashkelon,,,No data found for beach 20 on 2024-06-01,,,No data found for beach 20 on 2024-06-01
2024-06-01,,citizen_science_occurrence,Rhopilema nomadica,Few,1,14,Tel Aviv-Herzlia,0.35175755620002747,No,,0.44616296887397766,No,
2024-06-02,,citizen_science_occurrence,Rhopilema nomadica,Some,1,14,Tel Aviv-Herzlia,0.3747282326221466,No,,0.3554799258708954,No,
2024-06-02,,citizen_science_occurrence,Rhopilema nomadica,Some,1,19,Ashkelon-Ashdod,0.4479188919067383,No,,0.49051809310913086,No,
2024-06-02,,citizen_science_occurrence,Rhopilema nomadica,Some,1,3,Kiryat Yam-Acco,0.3562881052494049,No,,0.3607472777366638,No,
2024-06-02,,citizen_science_occurrence,Rhopilema nomadica,Few,1,13,Herzlia-Gaash,0.5136026740074158,Yes,,0.6564845442771912,Yes,
2024-06-02,,citizen_science_occurrence,Rhopilema nomadica,Some,1,7,Dor-Atlit,0.24331879615783691,No,,0.3226780295372009,No,
2024-06-02,,citizen_science_occurrence,Cnidaria,,1,6,Atlit-Tira,0.23287709057331085,No,,0.48162195086479187,No,
2024-06-02,,citizen_science_occurrence,Cnidaria,,1,15,Jaffa-Tel Aviv,0.3813931345939636,No,,0.5526578426361084,Yes,
2024-06-03,,citizen_science_occurrence,Rhopilema nomadica,Some,1,15,Jaffa-Tel Aviv,0.3570939302444458,No,,0.553673267364502,Yes,
2024-06-03,,citizen_science_occurrence,Rhopilema nomadica,Some,1,13,Herzlia-Gaash,0.5328567624092102,Yes,,0.6438047885894775,Yes,
2024-06-03,,citizen_science_occurrence,Rhopilema nomadica,Few,1,20,Gaza-Ashkelon,,,No data found for beach 20 on 2024-06-03,,,No data found for beach 20 on 2024-06-03
2024-06-03,,citizen_science_occurrence,Rhopilema nomadica,Some,1,19,Ashkelon-Ashdod,0.4607861340045929,No,,0.5474432110786438,Yes,
2024-06-03,,citizen_science_occurrence,Cnidaria,,1,1,Nahariya-Rosh Hniqra,0.39297163486480713,No,,0.527955949306488,Yes,
2024-06-03,,citizen_science_occurrence,Rhopilema nomadica,Some,1,7,Dor-Atlit,0.25443360209465027,No,,0.4364686608314514,No,
2024-06-03,,citizen_science_occurrence,Rhopilema nomadica,Few,1,14,Tel Aviv-Herzlia,0.37600672245025635,No,,0.47002437710762024,No,
2024-06-04,,citizen_science_occurrence,Rhopilema nomadica,Few,1,14,Tel Aviv-Herzlia,0.2778744399547577,No,,0.45354142785072327,No,
2024-06-04,,citizen_science_occurrence,Cnidaria,,1,6,Atlit-Tira,0.20722226798534393,No,,0.27305012941360474,No,
2024-06-04,,citizen_science_occurrence,Rhopilema nomadica,Some,1,20,Gaza-Ashkelon,,,No data found for beach 20 on 2024-06-04,,,No data found for beach 20 on 2024-06-04
2024-06-04,,citizen_science_occurrence,Rhopilema nomadica,Few,1,10,Michmoret-Hadera,0.3835178017616272,No,,0.5543689131736755,Yes,
2024-06-04,,citizen_science_occurrence,Rhopilema nomadica,Few,1,13,Herzlia-Gaash,0.5205750465393066,Yes,,0.6748316287994385,Yes,
2024-06-04,,citizen_science_occurrence,Cnidaria,,1,1,Nahariya-Rosh Hniqra,0.3878370523452759,No,,0.34451866149902344,No,
2024-06-04,,citizen_science_occurrence,Rhopilema nomadica,Few,1,15,Jaffa-Tel Aviv,0.3136930465698242,No,,0.5828149318695068,Yes,
2024-06-04,,citizen_science_occurrence,Phyllorhiza punctata,Few,1,18,Ashdod-Palmahim,0.46437838673591614,No,,0.6099634170532227,Yes,
2024-06-04,,citizen_science_occurrence,Rhizostoma pulmo,Some,1,11,Natanya-Michmoret,0.3165765404701233,No,,0.3343456983566284,No,
2024-06-05,,citizen_science_occurrence,Rhopilema nomadica,Some,1,15,Jaffa-Tel Aviv,0.308305561542511,No,,0.529975950717926,Yes,
2024-06-05,,citizen_science_occurrence,Cnidaria,,1,3,Kiryat Yam-Acco,0.3161657750606537,No,,0.42066067457199097,No,
2024-06-05,,citizen_science_occurrence,Rhopilema nomadica,Few,1,14,Tel Aviv-Herzlia,0.3014832139015198,No,,0.4751129746437073,No,
2024-06-05,,citizen_science_occurrence,Rhopilema nomadica,,1,1,Nahariya-Rosh Hniqra,0.3581320643424988,No,,0.30018529295921326,No,
2024-06-05,,citizen_science_occurrence,Rhopilema nomadica,Some,1,7,Dor-Atlit,0.22331476211547852,No,,0.28851908445358276,No,
2024-06-05,,citizen_science_occurrence,Cnidaria,,1,9,Hadera-Jisr a zarqa,0.49471622705459595,No,,0.7215391993522644,Yes,
2024-06-05,,citizen_science_occurrence,Rhopilema nomadica,Few,1,10,Michmoret-Hadera,0.3344138264656067,No,,0.5478808879852295,Yes,
2024-06-05,,citizen_science_occurrence,Rhopilema nomadica,Few,1,13,Herzlia-Gaash,0.4533323645591736,No,,0.6415359973907471,Yes,
2024-06-06,,citizen_science_occurrence,Rhopilema nomadica,Few,1,6,Atlit-Tira,0.24763020873069763,No,,0.2888796627521515,No,
2024-06-06,,citizen_science_occurrence,Cnidaria,,1,7,Dor-Atlit,0.2506117522716522,No,,0.2947472929954529,No,
2024-06-06,,citizen_science_occurrence,Rhopilema nomadica,Some,1,15,Jaffa-Tel Aviv,0.32920342683792114,No,,0.5958057045936584,Yes,
2024-06-06,,citizen_science_occurrence,Rhopilema nomadica,Some,1,14,Tel Aviv-Herzlia,0.4207329750061035,No,,0.5050382614135742,Yes,
2024-06-06,,citizen_science_occurrence,Rhopilema nomadica,Some,1,16,Rishon-Jaffa,0.4870481789112091,No,,0.4868094027042389,No,
2024-06-06,,citizen_science_occurrence,Rhopilema nomadica,Few,1,10,Michmoret-Hadera,0.3619396388530731,No,,0.5239467620849609,Yes,
2024-06-06,,citizen_science_occurrence,Rhopilema nomadica,Some,1,11,Natanya-Michmoret,0.2880490720272064,No,,0.4924885630607605,No,
2024-06-06,,citizen_science_occurrence,Rhopilema nomadica,Few,1,19,Ashkelon-Ashdod,0.39400339126586914,No,,0.47533977031707764,No,
2024-06-06,,citizen_science_occurrence,Rhopilema nomadica,Some,1,18,Ashdod-Palmahim,0.47443100810050964,No,,0.6604415774345398,Yes,
2024-06-06,,citizen_science_occurrence,Rhopilema nomadica,Few,1,13,Herzlia-Gaash,0.548994779586792,Yes,,0.6454034447669983,Yes,
2024-06-06,,citizen_science_occurrence,Cnidaria,,1,3,Kiryat Yam-Acco,0.26667308807373047,No,,0.4140333831310272,No,
2024-06-06,,citizen_science_occurrence,Rhopilema nomadica,Few,1,4,Shiqmona-Kiryat yam,0.23580355942249298,No,,0.20390306413173676,No,
